manufacturer,name,index,corridor_length_11,corridor_length_12,corridor_length_13,corridor_length_14,corridor_length_15,corridor_length_16,Temporal
Hoya,Hoyalux iD MyStyle V+,Eyvia 1.74,MSV17,MSV27,MSV37,MSV47,MSV57,MSV67,***,
Hoya,Hoyalux iD MyStyle V+,Eynoa 1.67,MSV15,MSV25,MSV35,MSV45,MSV55,MSV65,***,
Hoya,Hoyalux iD MyStyle V+,Eyas 1.6,MSV13,MSV23,MSV33,MSV43,MSV53,MSV63,***,
Hoya,Hoyalux iD MyStyle V+,PNX 1.53,MSV11,MSV21,MSV31,MSV41,MSV51,MSV61,***,
Hoya,Hoyalux iD MyStyle V+,CR39 1.50,MSV11,MSV21,MSV31,MSV41,MSV51,MSV61,***,
Hoya,Hoyalux iD LifeStyle V+ X-Act Harmony,Eyvia 1.74,LX17H,,,LX47H,,,***,
Hoya,Hoyalux iD LifeStyle V+ X-Act Harmony,Eynoa 1.67,LX15H,,,LX45H,,,***,
Hoya,Hoyalux iD LifeStyle V+ X-Act Harmony,Eyas 1.60,LX13H,,,LX43H,,,***,
Hoya,Hoyalux iD LifeStyle V+ X-Act Harmony,PNX 1.53,LX11H,,,LX4XH,,,***,
Hoya,Hoyalux iD LifeStyle V+ X-Act Harmony,CR39 1.50,LX11H,,,LX41H,,,***,
Hoya,Hoyalux iD LifeStyle V+ X-Act Clarity,Eyvia 1.74,LX17C,,,LX47C,,,***,
Hoya,Hoyalux iD LifeStyle V+ X-Act Clarity,Eynoa 1.67,LX15C,,,LX45C,,,***,
Hoya,Hoyalux iD LifeStyle V+ X-Act Clarity,Eyas 1.60,LX13C,,,LX43C,,,***,
Hoya,Hoyalux iD LifeStyle V+ X-Act Clarity,PNX 1.53,LX1XC,,,LX4XC,,,***,
Hoya,Hoyalux iD LifeStyle V+ X-Act Clarity,CR39 1.50,LX11C,,,LX41C,,,***,
Hoya,Hoyalux iD LifeStyle V+ Harmony,Eyvia 1.74,L17H,,,L47H,,,***,
Hoya,Hoyalux iD LifeStyle V+ Harmony,Eynoa 1.67,L15H,,,L45H,,,***,
Hoya,Hoyalux iD LifeStyle V+ Harmony,Eyas 1.60,L13H,,,L43H,,,***,
Hoya,Hoyalux iD LifeStyle V+ Harmony,PNX 1.53,L1XH,,,L41H,,,***,
Hoya,Hoyalux iD LifeStyle V+ Harmony,CR39 1.50,L11H,,,L41H,,,***,
Hoya,Hoyalux iD LifeStyle V+ Clarity,Eyvia 1.74,L17C,,,L47C,,,***,
Hoya,Hoyalux iD LifeStyle V+ Clarity,Eynoa 1.67,L15C,,,L45C,,,***,
Hoya,Hoyalux iD LifeStyle V+ Clarity,Eyas 1.60,L13C,,,L43C,,,***,
Hoya,Hoyalux iD LifeStyle V+ Clarity,PNX 1.53,L11C,,,L41C,,,***,
Hoya,Hoyalux iD LifeStyle V+ Clarity,CR39 1.50,L11C,,,L41C,,,***,
Hoya,Hoyalux Summit Pro TrueForm,Eynoa 1.67,,,,SP5,,,TF,
Hoya,Hoyalux Summit Pro TrueForm,Eyas 1.60,,,,SP3,,,TF,
Hoya,Hoyalux Summit Pro TrueForm,PNX 1.53,,,,SPX,,,TF,
Hoya,Hoyalux Summit Pro TrueForm,CR39 1.50,,,,SP1,,,TF,
Hoya,Hoyalux Summit CD TrueForm,Eynoa 1.67,CD5,,,,,,TF,
Hoya,Hoyalux Summit CD TrueForm,Eyas 1.60,CD3,,,,,,TF,
Hoya,Hoyalux Summit CD TrueForm,PNX 1.53,CDX,,,,,,TF,
Hoya,Hoyalux Summit CD TrueForm,CR39 1.50,CD1,,,,,,TF,
Hoya,Hoyalux Amplitude TrueForm,Eynoa 1.67,AS5,,,,A5,,TF,
Hoya,Hoyalux Amplitude TrueForm,Eyas 1.60,AS3,,,,A3,,TF,
Hoya,Hoyalux Amplitude TrueForm,PNX 1.53,ASX,,,,AX,,TF,
Hoya,Hoyalux Amplitude TrueForm,CR39 1.50,AS1,,,,A1,,TF,
Hoya,Hoyalux Summit Pro,LHI-1.70,,,,SP4,,,,
Hoya,Hoyalux Summit Pro,LHI-2 1.60,,,,SP3,,,,
Hoya,Hoyalux Summit Pro,UV 1.52,,,,SP1,,,,
Hoya,Hoyalux Summit CD,THI-2 1.81,,,,CD6,,,,
Hoya,Hoyalux Summit CD,LHI-2 1.60,,,,CD3,,,,
Hoya,Hoyalux Amplitude,UV 1.52,AS1,,,,A1,,,
Hoya,Hoyalux iD WorkStyle V+,Eynoa 1.67,WSV5,,,,,,C or S or P 18 to 24,
Hoya,Hoyalux iD WorkStyle V+,Eynoa 1.60,WSV3,,,,,,C or S or P 18 to 24,
Hoya,Hoyalux iD WorkStyle V+,CR39 1.50,WSV1,,,,,,C or S or P 18 to 24,
Hoya,Hoyalux Tact TrueForm 200/400,Eynoa 1.60,T3,,,,,,TF,
Hoya,Hoyalux Tact TrueForm 200/400,CR39 1.50,T1,,,,,,TF,
Hoya,AddPower 120 TrueForm,Eynoa 1.60,L3,,,,,,TF,
Hoya,AddPower 120 TrueForm,CR39 1.50,L1,,,,,,TF,
Hoya,AddPower 60 TrueForm,CR39 1.50,API,,,,,,TF,
Hoya,Nulux iDentity V+,Eyvia 1.74,Ni 7,,,,,,,
Hoya,Nulux iDentity V+,Eynoa 1.67,Ni 5,,,,,,,
Hoya,Nulux iDentity V+,Eyas 1.60,Ni 3,,,,,,,
Hoya,Nulux iDentity V+,CR39 1.50,Ni 1,,,,,,,
